mode,year,dow,trips,dow_name,week_part
jc,2019,0,59485,Monday,weekday
jc,2019,1,64849,Tuesday,weekday
jc,2019,2,64313,Wednesday,weekday
jc,2019,3,60689,Thursday,weekday
jc,2019,4,63596,Friday,weekday
jc,2019,5,49782,Saturday,weekend
jc,2019,6,42181,Sunday,weekend
jc,2020,0,41413,Monday,weekday
jc,2020,1,44713,Tuesday,weekday
jc,2020,2,45229,Wednesday,weekday
jc,2020,3,43774,Thursday,weekday
jc,2020,4,43950,Friday,weekday
jc,2020,5,54285,Saturday,weekend
jc,2020,6,49885,Sunday,weekend
jc,2023,0,133238,Monday,weekday
jc,2023,1,145219,Tuesday,weekday
jc,2023,2,151916,Wednesday,weekday
jc,2023,3,150571,Thursday,weekday
jc,2023,4,145959,Friday,weekday
jc,2023,5,132008,Saturday,weekend
jc,2023,6,124615,Sunday,weekend
jc,2025,0,134037,Monday,weekday
jc,2025,1,147700,Tuesday,weekday
jc,2025,2,147380,Wednesday,weekday
jc,2025,3,150079,Thursday,weekday
jc,2025,4,156534,Friday,weekday
jc,2025,5,140097,Saturday,weekend
jc,2025,6,119114,Sunday,weekend
